,Date,Count,Offense
176,2019-09-27,2,Drugs
177,2019-09-27,6,Fraud
178,2019-09-28,10,Vandalism
179,2019-09-28,6,Assault
180,2019-09-28,3,Fraud
181,2019-09-29,4,Fraud
182,2019-09-29,16,Assault
183,2019-09-29,3,Drugs
184,2019-09-29,18,Vandalism
185,2019-09-30,8,Fraud
186,2019-09-30,9,Vandalism
187,2019-09-30,16,Assault
188,2019-09-30,10,Drugs
189,2019-10-01,13,Drugs
190,2019-10-01,18,Fraud
191,2019-10-01,5,Vandalism
192,2019-10-01,22,Assault
193,2019-10-02,9,Drugs
194,2019-10-02,5,Vandalism
195,2019-10-02,17,Assault
196,2019-10-02,10,Fraud
197,2019-10-03,11,Drugs
198,2019-10-03,7,Fraud
199,2019-10-03,12,Vandalism
200,2019-10-03,13,Assault
201,2019-10-04,19,Assault
202,2019-10-04,7,Drugs
203,2019-10-04,6,Vandalism
204,2019-10-04,17,Fraud
205,2019-10-05,6,Fraud
206,2019-10-05,6,Drugs
207,2019-10-05,21,Assault
208,2019-10-05,12,Vandalism
209,2019-10-06,10,Vandalism
210,2019-10-06,4,Drugs
211,2019-10-06,4,Fraud
212,2019-10-06,17,Assault
213,2019-10-07,6,Vandalism
214,2019-10-07,7,Drugs
215,2019-10-07,14,Fraud
216,2019-10-07,21,Assault
217,2019-10-08,4,Vandalism
218,2019-10-08,6,Fraud
219,2019-10-08,19,Assault
220,2019-10-08,5,Drugs
221,2019-10-09,9,Fraud
222,2019-10-09,12,Vandalism
223,2019-10-09,12,Assault
224,2019-10-09,12,Drugs
225,2019-10-10,7,Fraud
226,2019-10-10,22,Assault
227,2019-10-10,13,Drugs
228,2019-10-10,12,Vandalism
229,2019-10-11,7,Fraud
230,2019-10-11,16,Assault
231,2019-10-11,3,Drugs
232,2019-10-11,12,Vandalism
233,2019-10-12,16,Assault
234,2019-10-12,5,Vandalism
235,2019-10-12,4,Fraud
236,2019-10-12,8,Drugs
237,2019-10-13,11,Vandalism
238,2019-10-13,1,Fraud
239,2019-10-13,16,Assault
240,2019-10-14,8,Fraud
241,2019-10-14,8,Drugs
242,2019-10-14,17,Assault
243,2019-10-14,10,Vandalism
244,2019-10-15,10,Assault
245,2019-10-15,8,Vandalism
246,2019-10-15,10,Drugs
247,2019-10-15,10,Fraud
248,2019-10-16,10,Fraud
249,2019-10-16,6,Vandalism
250,2019-10-16,14,Drugs
251,2019-10-16,15,Assault
252,2019-10-17,7,Drugs
253,2019-10-17,16,Assault
254,2019-10-17,3,Vandalism
255,2019-10-18,10,Drugs
256,2019-10-18,12,Vandalism
257,2019-10-18,4,Fraud
258,2019-10-18,17,Assault
259,2019-10-19,4,Fraud
260,2019-10-19,18,Assault
261,2019-10-19,5,Drugs
262,2019-10-19,13,Vandalism
263,2019-10-20,17,Assault
264,2019-10-20,5,Fraud
265,2019-10-20,4,Drugs
266,2019-10-20,9,Vandalism
267,2019-10-21,6,Vandalism
